Animal,Breed ,Products,Production,Symptom1,Symptom2,Symptom3,Disease,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,depression,painless lumps,loss of appetite,pneumonia,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,loss of appetite,swelling in limb,crackling sound,blackleg,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,depression,painless lumps,loss of appetite,lumpy virus,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,shortness of breath,sweats,chills,anthrax,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,difficulty walking,loss of appetite,blisters on hooves,foot and mouth,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,chest discomfort,swelling in extremities,shortness of breath,anthrax,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,loss of appetite,sores on hooves,lameness,foot and mouth,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,blisters on gums,loss of appetite,difficulty walking,foot and mouth,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,swelling in extremities,sweats,fatigue,anthrax,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,sores on gums,difficulty walking,loss of appetite,foot and mouth,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,crackling sound,lameness,depression,blackleg,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,sweats,fatigue,chills,anthrax,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,swelling in muscle,lameness,crackling sound,blackleg,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,swelling in abdomen,chills,shortness of breath,anthrax,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,loss of appetite,blisters on mouth,difficulty walking,foot and mouth,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,sweats,fatigue,swelling in abdomen,anthrax,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,fatigue,sweats,shortness of breath,anthrax,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,fatigue,swelling in abdomen,chest discomfort,anthrax,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,swelling in neck,chest discomfort,shortness of breath,anthrax,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,swelling in limb,difficulty walking,depression,blackleg,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,crackling sound,swelling in limb,lameness,blackleg,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,blisters on tongue,lameness,loss of appetite,foot and mouth,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,sores on mouth,lameness,loss of appetite,foot and mouth,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,sores on tongue,lameness,loss of appetite,foot and mouth,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,Swollen udder,Blood in milk,Hot udder,Mastitis,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,Swollen udder,Pus in milk,Hard udder,Mastitis,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,Hot udder,Clot in milk,Hard udder,Mastitis,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,cough,loss of appetite,swollen lymph nodes,Bovine Tuberculosis,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,cough,decreased weight,swollen lymph nodes,Bovine Tuberculosis,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,Discomfort,swelling in abdomen,Labored breathing,Bloat,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,Muscle weakness,Cold ears,Tremors,Hypocalcemia,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,Muscle weakness,dry muzzle,Tremors,Hypocalcemia,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,Chronic diarrhea,weight loss,low milk production,Johne's Disease,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,low milk production,Clot in milk,Hard udder,Mastitis,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,Abortion,Retained placenta,Decreased fertility,Brucellosis,,
Cow,Hariyana Breed,Milk,6.06 to 9.49 liters per day,Abortion,uterine infections,low milk production,Brucellosis,,
